"","ssp","summer_drought_stress_risk","summer_insect_risk","summer_disease_risk","pad","actual_chill","winter_mean_temp","spring_pollinator","spring_disease_risk","spring_frost_risk","fruit_frost_risk","fruit_drought_stress_risk","fruit_hail_risk","fruit_sunburn_risk","fruit_insect_risk","fruit_disease_risk","fruit_snail_risk","harvest_frost_risk","harvest_heat_risk","harvest_hail_risk","harvest_rain_risk","harvest_fly_risk","summer_mean_temp","spring_mean_temp","fruit_mean_temp","harvest_mean_temp","id"
"historical--historical--2020--2019","historical",0.27,0.25,0,50,106.86,7.36509933774834,0.316666666666667,0,0.85,0,0.11,0,0,0,0,0,0,0,0,0.15,0.75,16.6523626373626,8.70258333333333,13.1143333333333,17.9628787878788,19
"historical--historical--2020--2020","historical",0.13,0.1,0,36,101.82,7.4764238410596,0.35,0,0.75,0.1,0,0,0,0,0,0,0,0.25,0.1,0,0.25,14.6160989010989,9.846,11.8696666666667,19.0919696969697,20
"historical--historical--2020--2021","historical",0.16,0,0,56,95.35,7.27390728476821,0.4,0,0.4,0.05,0.13,0.1,0,0,0,0.4,0,0.25,0.15,0.3,0.35,15.8714835164835,9.29958333333333,15.1533333333333,18.8944117647059,21
"historical--historical--2020--2022","historical",0.31,0.3,0,54,107.73,7.03192052980132,0.433333333333333,0,1,0.05,0,0.05,0,0,0,0,0,0.4,0.1,0.3,0.55,15.849010989011,7.80233333333333,13.86,19.4404545454545,22
"historical--historical--2020--2023","historical",0.27,0,0,49,105.93,8.0153642384106,0.4,0,0.9,0,0.14,0,0,0,0,0,0,0.45,0.05,0.15,0.6,15.6103296703297,8.23108333333333,14.4611666666667,21.100303030303,23
"historical--historical--2020--2024","historical",0.22,0.15,0,59,106.94,7.35046357615894,0.416666666666667,0,0.5,0.05,0.14,0,0,0,0,0,0,0.1,0.1,0,0.1,16.0321428571429,9.87816666666667,13.1883333333333,18.0339393939394,24
"historical--historical--2020--2025","historical",0.21,0.2,0,50,89.56,7.30529801324503,0.283333333333333,0,0.75,0,0.05,0.05,0,0,0,0,0,0.35,0,0,0.6,15.4764285714286,8.7035,16.725,20.1139705882353,25
"historical--historical--2020--2026","historical",0.26,0.25,0,62,106.28,7.71735099337748,0.416666666666667,0,0.35,0.1,0.1,0.05,0,0,0,0.1,0,0.1,0.05,0.15,0.2,16.8835164835165,10.1180833333333,15.1926666666667,17.444696969697,26
"historical--historical--2020--2027","historical",0.29,0.5,0,33,102.07,6.60403973509934,0.416666666666667,0,0.45,0.05,0,0,0,0,0,0,0,0.35,0.1,0,0.2,14.8764835164835,10.1073333333333,12.9548333333333,18.1284848484848,27
"historical--historical--2020--2028","historical",0.26,0,0,47,106.18,7.98079470198675,0.333333333333333,0,0.7,0,0.06,0,0,0,0,0,0,0.25,0,0,0.5,15.6021978021978,8.53316666666667,15.5801666666667,19.0668181818182,28
"historical--historical--2020--2029","historical",0.18,0,0,28,101.86,7.26304635761589,0.266666666666667,0,0.65,0,0.14,0,0,0,0,0,0,0.3,0.15,0.15,0.2,13.737967032967,8.48366666666667,14.2551666666667,16.8745588235294,29
"historical--historical--2020--2030","historical",0.08,0.15,0,49,108.41,7.25834437086093,0.166666666666667,0,0.5,0.1,0.05,0,0,0,0,0,0,0.55,0.1,0.45,0.25,15.431978021978,7.78766666666667,14.4786666666667,20.2318181818182,30
"historical--historical--2020--2031","historical",0.24,0.4,0,50,106.79,7.52735099337748,0.266666666666667,0,1,0.1,0.12,0,0,0,0,0,0,0,0,0.15,0.25,15.6224725274725,6.591,13.8248333333333,14.3484848484848,31
"historical--historical--2020--2032","historical",0.19,0.1,0,46,103.32,7.08509933774834,0.283333333333333,0,0.5,0,0.07,0,0,0,0,0,0,0.05,0.1,0.15,0.4,15.7953296703297,9.65216666666667,12.9081666666667,17.2290909090909,32
"historical--historical--2020--2033","historical",0.34,0.4,0,51,100.29,7.37980132450331,0.316666666666667,0,1,0.05,0.05,0.05,0,0,0,0,0,0.05,0,0.15,0.25,16.5448351648352,7.75533333333333,12.7225,14.9761764705882,33
"historical--historical--2020--2034","historical",0.17,0,0,43,98.37,7.49072847682119,0.316666666666667,0,0.5,0.05,0.09,0.05,0,0,0,0,0,0.55,0.1,0,0.3,13.7693406593407,9.63608333333333,13.459,20.7186363636364,34
"historical--historical--2020--2035","historical",0.16,0,0,57,106.04,6.97423841059603,0.283333333333333,0,1,0,0.05,0,0,0,0,0,0,0.25,0,0,0.2,15.6594505494505,6.06275,14.0233333333333,17.9933333333333,35
"historical--historical--2020--2036","historical",0.07,0.5,0,50,104.21,7.12152317880795,0.366666666666667,0,0.6,0,0.12,0,0,0,0,0.1,0,0.05,0,0.3,0.15,16.1030769230769,8.39,12.9258333333333,16.7125757575758,36
"historical--historical--2020--2037","historical",0.11,0,0,51,104.69,6.88582781456954,0.35,0,1,0.15,0.2,0.05,0,0.45,0,0,0,0.15,0,0.15,0.5,15.8600549450549,5.72858333333333,18.2913333333333,17.6588235294118,37
"historical--historical--2020--2038","historical",0.2,0,0,58,108.13,6.97609271523179,0.333333333333333,0,0.45,0.15,0.14,0,0,0,0,0,0,0.15,0.15,0.15,0.3,15.7191758241758,8.93333333333333,10.2366666666667,16.8637878787879,38
"historical--historical--2020--2039","historical",0.19,0.25,0,53,107.48,6.65900662251656,0.2,0,0.9,0.1,0.05,0.1,0,0.2,0,0,0,0.5,0.15,0.15,0.6,15.7085164835165,6.48775,16.2723333333333,19.6134848484848,39
"historical--historical--2020--2040","historical",0.24,0,0,34,108.37,7.53046357615894,0.266666666666667,0,1,0.15,0.05,0,0,0,0,0,0,0.25,0.1,0,0.2,13.954010989011,7.49133333333333,12.1355,19.4459090909091,40
"historical--historical--2020--2041","historical",0.35,0.15,0,63,106.66,6.57668874172185,0.333333333333333,0,1,0.05,0.06,0,0,0,0,0,0,0.25,0.05,0,0.3,17.1599450549451,8.44175,13.4041666666667,18.8542647058824,41
"historical--historical--2020--2042","historical",0.24,0,0,56,100.81,7.40437086092715,0.416666666666667,0,0.25,0.05,0.11,0,0,0,0,0,0,0.05,0,0.15,0.1,16.2732967032967,10.56225,12.2983333333333,15.4534848484848,42
"historical--historical--2020--2043","historical",0.17,0,0,50,109.43,7.18185430463576,0.333333333333333,0,1,0.05,0.07,0.05,0,0,0,0,0,0.25,0.2,0.15,0.4,15.3262637362637,6.91383333333333,14.311,20.5742424242424,43
"historical--historical--2020--2044","historical",0.25,0,0,61,101.79,7.16854304635762,0.25,0,1,0.05,0.09,0,0,0,0,0,0,0.05,0,0,0.3,15.1697252747253,8.26733333333333,13.3981666666667,17.3377272727273,44
"historical--historical--2020--2045","historical",0.1,0.1,0,64,102.23,7.38258278145695,0.25,0,0.95,0.1,0.05,0,0,0,0,0.15,0,0.2,0.05,0,0.45,17.0710989010989,7.95608333333333,13.7288333333333,18.8597058823529,45
"historical--historical--2020--2046","historical",0.26,0.1,0,55,99.05,7.21529801324503,0.416666666666667,0,0.45,0,0.08,0,0,0,0,0.1,0,0.55,0.1,0,0.35,16.7867032967033,9.779,14.6948333333333,20.2480303030303,46
"historical--historical--2020--2047","historical",0.35,0.1,0,45,106.72,6.82337748344371,0.416666666666667,0,1,0,0.06,0.05,0,0,0,0,0,0.35,0.05,0,0.25,14.6895604395604,7.29325,14.8061666666667,18.7171212121212,47
"historical--historical--2020--2048","historical",0.28,1,0,43,104.7,7.64304635761589,0.4,0,0.85,0,0,0.05,0,0,0,0,0,0.2,0.2,0.15,0.2,15.3939010989011,9.14333333333333,13.3966666666667,20.2231818181818,48
"historical--historical--2020--2049","historical",0.19,0,0,34,103.79,7.44145695364238,0.383333333333333,0,0.5,0.1,0.05,0,0,0,0,0,0,0.1,0.1,0.15,0.65,14.0158791208791,9.363,15.9218333333333,18.5355882352941,49
"historical--historical--2020--2050","historical",0.1,0,0,30,103.18,6.35635761589404,0.166666666666667,0,0.95,0,0.05,0,0,0,0,0,0,0.15,0.1,0.15,0.4,13.2591758241758,5.63725,14.7716666666667,17.2781818181818,50
"historical--historical--2020--2051","historical",0.45,0.45,0,60,103.48,6.73847682119205,0.283333333333333,0,0.4,0,0.21,0,0,0,0,0,0,0.35,0,0,0.2,16.9774175824176,8.83141666666667,14.0061666666667,18.439696969697,51
"historical--historical--2020--2052","historical",0.25,0,0,40,105.8,6.68754966887417,0.216666666666667,0,0.4,0.1,0.13,0,0,0,0,0,0,0,0.05,0.3,0.4,14.8038461538462,8.67975,12.0086666666667,15.8392424242424,52
"historical--historical--2020--2053","historical",0.38,0.35,0,63,104.28,6.65986754966887,0.233333333333333,0,0.45,0.35,0.18,0,0,0,0,0,0,0.15,0.05,0,0.4,16.6675274725275,8.84116666666667,11.3216666666667,18.1866176470588,53
"historical--historical--2020--2054","historical",0.12,0,0,39,106.8,6.7435761589404,0.183333333333333,0,0.25,0.1,0.14,0,0,0,0,0,0,0.45,0.25,0.15,0.2,14.6923626373626,9.20833333333333,12.7261666666667,20.4512121212121,54
"historical--historical--2020--2055","historical",0.38,0,0,35,101.47,7.14165562913907,0.383333333333333,0,0.75,0.05,0.12,0.05,0,0,0,0,0,0.4,0.05,0.15,0.35,14.4614285714286,9.00766666666667,13.2328333333333,20.0334848484849,55
"historical--historical--2020--2056","historical",0.18,0,0,62,103.67,6.71860927152318,0.3,0,0.85,0.15,0.06,0,0,0,0,0,0,0.05,0.05,0.15,0.4,16.0235164835165,8.37641666666667,11.9305,17.2768181818182,56
"historical--historical--2020--2057","historical",0.21,0,0,57,106.37,7.46900662251656,0.316666666666667,0,0.7,0.2,0.12,0,0,0,0,0,0,0.2,0.15,0.3,0.55,16.4607142857143,9.24683333333333,12.2123333333333,19.5205882352941,57
"historical--historical--2020--2058","historical",0.07,0,0,44,103.4,7.57483443708609,0.366666666666667,0,0.25,0.2,0.05,0.05,0,0,0,0,0,0.05,0,0.15,0.25,14.2454395604396,9.55916666666667,12.0733333333333,16.4740909090909,58
"historical--historical--2020--2059","historical",0.26,0.45,0,59,103.86,7.3658940397351,0.5,0,0.5,0,0,0.05,0,0,0,0,0,0,0,0.3,0.5,16.6191758241758,9.179,14.6776666666667,17.3119696969697,59
"historical--historical--2020--2060","historical",0.16,0,0,48,102.63,7.37622516556291,0.3,0,0.6,0,0.11,0,0,0,0,0,0,0.1,0.2,0,0.75,15.3299450549451,8.54275,14.1121666666667,17.9427272727273,60
"historical--historical--2020--2061","historical",0.24,0.4,0,44,101.02,6.53324503311258,0.4,0,1,0.05,0,0,0,0,0,0,0,0.15,0.05,0,0.35,15.1054395604396,7.12791666666667,13.0673333333333,17.5167647058824,61
"historical--historical--2020--2062","historical",0.27,0.35,0,36,104.44,7.69344370860927,0.466666666666667,0,1,0.1,0.07,0,0,0,0,0,0,0,0.05,0,0.75,13.5982967032967,7.26675,12.3568333333333,18.8942424242424,62
"historical--historical--2020--2063","historical",0.2,0.1,0,41,100.82,7.17562913907285,0.316666666666667,0,0.15,0,0.1,0.05,0,0.1,0,0.2,0,0,0,0,0.2,14.6038461538462,9.65575,15.9341666666667,15.8601515151515,63
"historical--historical--2020--2064","historical",0,0.1,0,43,107,7.66655629139073,0.4,0,0.8,0,0.11,0,0,0,0,0,0,0.15,0.05,0.3,0.45,15.0264285714286,9.91875,12.095,18.7789393939394,64
"historical--historical--2020--2065","historical",0.11,0,0,35,109.2,7.76430463576159,0.266666666666667,0,0.35,0.05,0.11,0,0,0,0,0,0,0,0,0.15,0.35,13.4385714285714,9.2705,13.3755,16.7785294117647,65
"historical--historical--2020--2066","historical",0.15,0.1,0,49,99.76,7.34066225165563,0.4,0,0.55,0,0.17,0,0,0,0,0,0,0.3,0.1,0.3,0.55,16.0728571428571,10.14775,14.7245,19.3645454545455,66
"historical--historical--2020--2067","historical",0.23,0.15,0,44,105.19,7.95145695364238,0.4,0,0.25,0.05,0,0,0,0,0,0,0,0,0,0,0.55,15.5836813186813,9.94383333333333,11.0268333333333,16.9915151515152,67
"historical--historical--2020--2068","historical",0.15,0,0,51,103.75,7.01953642384106,0.383333333333333,0,0.7,0,0.11,0,0,0,0,0,0.05,0.25,0,0,0.3,15.5649450549451,8.47175,14.6656666666667,16.6801515151515,68
"historical--historical--2020--2069","historical",0.28,0.1,0,53,104.27,7.84960264900662,0.4,0,0.55,0,0.06,0,0,0,0,0,0,0.7,0.2,0.3,0.2,15.4048901098901,8.8945,14.8545,21.7848529411765,69
"historical--historical--2020--2070","historical",0.05,0.15,0,58,105.08,7.47841059602649,0.25,0,1,0.05,0.15,0,0,0.1,0,0,0,0.05,0.05,0.15,0.45,16.3714285714286,6.89583333333333,15.1936666666667,18.2743939393939,70
"historical--historical--2020--2071","historical",0.25,0,0,54,101.72,6.43509933774834,0.25,0,0.8,0.1,0.08,0,0,0,0,0,0,0.05,0,0,0.75,15.5835164835165,7.68866666666667,11.4678333333333,17.129696969697,71
"historical--historical--2020--2072","historical",0.33,0.1,0,49,108.45,7.74675496688742,0.4,0,0.8,0,0.05,0,0,0,0,0,0,0,0.05,0.15,0.3,15.2493956043956,9.70591666666667,12.1045,16.0525757575758,72
"historical--historical--2020--2073","historical",0.12,0,0,42,95.46,6.99006622516556,0.266666666666667,0,0.85,0,0.14,0.05,0,0,0,0,0,0.35,0.1,0,0.4,14.7473626373626,8.40508333333333,15.9965,19.29,73
"historical--historical--2020--2074","historical",0.16,0,0,59,101.51,7.61092715231788,0.316666666666667,0,1,0.15,0.07,0,0,0,0,0,0,0,0,0,0.15,15.8004945054945,6.60366666666667,10.2335,14.7692424242424,74
"historical--historical--2020--2075","historical",0.17,0,0,32,106,7.96741721854305,0.433333333333333,0,0.8,0,0.14,0,0,0,0,0,0,0,0,0,0.45,13.4472527472527,8.73516666666667,15.2725,15.325303030303,75
"historical--historical--2020--2076","historical",0.3,0,0,39,105.37,7.22132450331126,0.25,0,1,0,0,0.05,0,0,0,0,0,0.25,0.1,0.45,0.7,13.7100549450549,6.62558333333333,15.4441666666667,17.4162121212121,76
"historical--historical--2020--2077","historical",0.3,0.2,0,47,103.24,7.00370860927152,0.283333333333333,0,0.75,0,0.12,0,0,0,0,0,0,0.6,0.15,0,0.25,15.0370879120879,8.56533333333333,15.0325,21.1975,77
"historical--historical--2020--2078","historical",0.25,0.45,0,51,107.07,6.53615894039735,0.316666666666667,0,0.2,0.25,0.21,0,0,0,0,0,0,0.25,0.05,0,0.65,15.8224175824176,9.94991666666667,11.8435,18.3110606060606,78
"historical--historical--2020--2079","historical",0.23,0.2,0,54,102.51,7.34807947019867,0.333333333333333,0,0.2,0,0,0,0,0,0,0,0,0.4,0.15,0.15,0.55,15.8840659340659,9.91766666666667,12.575,18.3710606060606,79
"historical--historical--2020--2080","historical",0.24,0,0,47,102.58,7.81735099337748,0.316666666666667,0,1,0.05,0,0.05,0,0,0,0.1,0,0.1,0.1,0.15,0.4,15.1663186813187,7.84308333333333,15.579,17.7581818181818,80
"historical--historical--2020--2081","historical",0.27,0,0,45,102.57,7.64503311258278,0.45,0,1,0.1,0.05,0,0,0,0,0,0,0,0.05,0.15,0.05,15.2612087912088,7.65716666666667,10.7705,15.9608823529412,81
"historical--historical--2020--2082","historical",0.17,0.2,0,49,105.75,6.58735099337748,0.25,0,0.35,0.1,0.15,0,0,0,0,0,0,0,0.1,0.3,0.85,15.4755494505495,10.0479166666667,12.4933333333333,16.6136363636364,82
"historical--historical--2020--2083","historical",0.36,0,0,55,106.8,7.34622516556291,0.25,0,0.85,0.25,0.16,0,0,0,0,0,0,0,0,0.15,0.2,15.5850549450549,7.32741666666667,11.569,15.4786363636364,83
"historical--historical--2020--2084","historical",0,0.55,0,42,103.82,7.1541059602649,0.333333333333333,0,1,0,0.09,0,0,0,0,0,0,0.2,0.05,0,0.6,16.1605494505494,6.67891666666667,13.76,18.5898484848485,84
"historical--historical--2020--2085","historical",0.05,0.2,0,47,105.46,7.39417218543046,0.25,0,0.95,0,0.11,0.05,0,0,0,0.1,0,0.2,0.05,0,0.35,15.882967032967,7.92025,16.0468333333333,17.0551470588235,85
"historical--historical--2020--2086","historical",0.12,0.25,0,44,99.36,7.02417218543046,0.3,0,0.35,0.05,0.19,0,0,0,0,0.15,0,0.05,0.1,0.3,0.55,15.1686263736264,10.4406666666667,13.8076666666667,17.5931818181818,86
"historical--historical--2020--2087","historical",0.15,0.25,0,43,104,6.85271523178808,0.333333333333333,0,0.85,0,0.06,0,0,0,0,0,0.05,0,0,0.3,0.4,15.6963186813187,7.76233333333333,14.857,15.9401515151515,87
"historical--historical--2020--2088","historical",0.18,0,0,42,106,7.82013245033113,0.383333333333333,0,0.9,0.05,0,0,0,0,0,0,0,0.2,0,0.15,0.25,14.7498901098901,8.7,13.5361666666667,17.53,88
"historical--historical--2020--2089","historical",0.19,0.3,0,37,108.07,7.38509933774835,0.383333333333333,0,0.95,0.25,0.13,0,0,0,0,0,0,0.2,0,0.15,0.15,14.7283516483516,7.65291666666667,9.70466666666667,15.3867647058824,89
"historical--historical--2020--2090","historical",0.16,0.35,0,60,103.15,6.31841059602649,0.233333333333333,0,0.6,0,0.06,0.1,0,0,0,0,0,0,0,0.15,0.7,18.1327472527473,8.47041666666667,14.8081666666667,16.4004545454545,90
"historical--historical--2020--2091","historical",0.37,0.2,0,41,107.05,6.54662251655629,0.266666666666667,0,0.6,0,0.1,0,0,0,0,0,0,0,0,0,0.35,14.9646153846154,7.81633333333333,13.559,15.3880303030303,91
"historical--historical--2020--2092","historical",0.19,0,0,62,106.09,6.72920529801325,0.216666666666667,0,0.35,0.05,0,0,0,0,0,0,0,0.05,0.1,0.45,0.45,15.975,9.0315,13.4851666666667,17.7563636363636,92
"historical--historical--2020--2093","historical",0.25,0.1,0,49,100.19,6.98185430463576,0.216666666666667,0,1,0,0.11,0.05,0,0,0,0,0,0.5,0.05,0,0.2,15.7331318681319,5.51725,15.1526666666667,18.2361764705882,93
"historical--historical--2020--2094","historical",0.26,0.3,0,49,99.28,7.67860927152318,0.45,0,0.5,0,0.06,0,0,0,0,0,0,0.2,0,0.15,0.2,16.3966483516484,10.8850833333333,14.7701666666667,18.075,94
"historical--historical--2020--2095","historical",0.1,0.3,0,64,107.31,7.30708609271523,0.366666666666667,0,1,0,0.06,0,0,0,0,0,0,0.05,0,0,0.4,17.3525824175824,5.86566666666667,14.8611666666667,17.9366666666667,95
"historical--historical--2020--2096","historical",0.16,0.1,0,44,94.89,7.3805298013245,0.25,0,0.45,0.05,0.12,0,0,0,0,0,0,0,0,0,0.25,15.0443406593407,7.91325,12.8496666666667,15.0942424242424,96
"historical--historical--2020--2097","historical",0.11,0,0,46,100.38,6.86960264900662,0.183333333333333,0,0.65,0.1,0.12,0,0,0,0,0,0,0.05,0.15,0.45,0.4,13.6519230769231,7.71683333333333,14.2166666666667,17.4848529411765,97
"historical--historical--2020--2098","historical",0.13,0.3,0,45,104.32,7.54880794701987,0.55,0,1,0.2,0,0,0,0,0,0,0,0.35,0,0.15,0.25,15.1365384615385,8.95791666666667,12.154,20.3156060606061,98
"historical--historical--2020--2099","historical",0.16,0.2,0,44,106.57,6.93397350993377,0.366666666666667,0,0.3,0.15,0.1,0,0,0,0,0,0,0.1,0.05,0.15,0.35,15.1432967032967,9.81758333333334,10.2846666666667,17.059696969697,99
"historical--historical--2020--2100","historical",0.26,0.35,0,37,105.38,7.35841059602649,0.433333333333333,0,0.85,0,0.09,0.05,0,0,0,0,0,0.15,0.05,0,0.55,14.8508791208791,8.30491666666667,16.7966666666667,17.4957575757576,100
"ssp126--ACCESS-CM2--2075--2001","ssp126",0.16,0.25,0,58,99.73,7.58761589403974,0.283333333333333,0,0.65,0,0,0,0,0,0,0.15,0,0.55,0.05,0.3,0.3,17.2219230769231,9.15016666666667,16.0691666666667,19.8983823529412,101
"ssp126--ACCESS-CM2--2075--2002","ssp126",0.06,0,0,56,102.48,7.78139072847682,0.4,0,0.35,0,0.05,0.05,0,0,0,0.15,0,0.3,0.1,0,0.4,17.6171428571429,10.0698333333333,17.0668333333333,19.1906060606061,102
"ssp126--ACCESS-CM2--2075--2003","ssp126",0.15,0.1,0,59,110.49,7.60264900662252,0.366666666666667,0,0.5,0.05,0,0,0,0.1,0,0.1,0,0.25,0.15,0.15,0.65,17.0752747252747,9.21266666666667,16.6078333333333,18.8269696969697,103
"ssp126--ACCESS-CM2--2075--2004","ssp126",0.21,0.1,0,63,96.5,8.14132450331126,0.266666666666667,0,0.75,0,0,0.05,0,0,0,0,0,0.05,0.05,0.3,0.6,17.4027472527473,9.66275,15.4538333333333,17.9657575757576,104
"ssp126--ACCESS-CM2--2075--2005","ssp126",0.1,0.45,0,62,102.17,7.71079470198675,0.3,0,0.4,0.05,0.07,0.15,0,0,0,0,0,0.35,0.05,0,0.15,17.3665384615385,9.70708333333333,14.8076666666667,19.8633823529412,105
"ssp126--ACCESS-CM2--2075--2006","ssp126",0.17,0.95,0,70,99.7,8.44801324503311,0.283333333333333,0,0.25,0.1,0.2,0,0,0,0,0,0,0.55,0.05,0.15,0.25,18.9597252747253,10.6773333333333,15.3581666666667,22.2616666666667,106
"ssp126--ACCESS-CM2--2075--2007","ssp126",0.11,0.1,0,58,104.56,7.12364238410596,0.25,0,0.45,0,0,0.1,0,0,0,0.15,0,0,0.05,0.15,0.45,16.3043956043956,10.0111666666667,17.347,17.1674242424242,107
"ssp126--ACCESS-CM2--2075--2008","ssp126",0.11,0.5,0,55,99.99,8.12443708609272,0.383333333333333,0,0.3,0,0.05,0.1,0,0,0,0,0,0.9,0.35,0.15,0.3,17.6206593406593,10.7095833333333,18.4281666666667,22.0039393939394,108
"ssp126--ACCESS-CM2--2075--2009","ssp126",0.32,0.1,0,62,107.75,7.20364238410596,0.25,0,0,0.1,0.12,0.05,0,0.15,0,0,0,0.2,0.15,0.3,0.6,18.1952747252747,11.6426666666667,16.9335,19.7041176470588,109
"ssp126--ACCESS-CM2--2075--2010","ssp126",0.2,0.15,0,63,108.21,6.68748344370861,0.216666666666667,0,0.65,0,0.05,0,0,0,0,0,0,0,0,0.15,0.35,18.1369230769231,8.30116666666667,14.5683333333333,16.06,110
"ssp126--ACCESS-CM2--2075--2011","ssp126",0.19,0.5,0,53,92.66,7.36324503311258,0.3,0,0.35,0,0.13,0.05,0,0,0,0,0,0.7,0.05,0,0.2,16.6975274725275,11.3805,13.4815,22.4009090909091,111
"ssp126--ACCESS-CM2--2075--2012","ssp126",0.3,0.6,0,75,106.11,7.84165562913907,0.383333333333333,0,0.5,0,0,0.05,0,0,0,0.1,0,0.5,0.05,0.15,0.35,18.0607142857143,9.01183333333333,15.3895,20.0468181818182,112
"ssp126--ACCESS-CM2--2075--2013","ssp126",0,0,0,54,93.98,7.67721854304636,0.533333333333333,0,0.7,0,0.08,0,0,0,0,0,0,0.05,0,0,0.5,16.0952197802198,8.684,14.2205,16.3352941176471,113
"ssp126--ACCESS-CM2--2075--2014","ssp126",0.35,0.5,0,54,102.73,7.58615894039735,0.283333333333333,0,0.75,0.05,0.1,0,0,0,0,0,0,0.45,0.05,0,0.45,17.014010989011,8.51408333333333,13.6728333333333,19.8734848484848,114
